,appid,tags,genre
470310,470310,"CRPG, Tactical RPG, Turn-Based Tactics, Turn-Based","Casual, Indie, RPG, Strategy"
471710,471710,"Free to Play, VR, Multiplayer, Online Co-Op","Adventure, Casual, Free to Play, Massively Multiplayer"
47410,47410,"Strategy, Free to Play, Medieval, Massively Multiplayer","Free to Play, Massively Multiplayer, Strategy"
475150,475150,"RPG, Hack and Slash, Action RPG, Loot","Action, RPG"
4760,4760,"Strategy, Historical, Rome, Turn-Based Strategy",Strategy
476600,476600,"World War II, FPS, Multiplayer, War",Action
477160,477160,"Co-op, Funny, Puzzle, Adventure","Adventure, Casual, Indie, Simulation"
47780,47780,"Horror, Survival Horror, Third-Person Shooter, Shooter","Action, Adventure"
47810,47810,"RPG, Fantasy, Story Rich, Choices Matter",RPG
47890,47890,"Life Sim, Simulation, Character Customization, Building",Simulation
479130,479130,"Utilities, Multiplayer, Mature, Competitive",Utilities
480490,480490,"Sci-fi, Space, Immersive Sim, Atmospheric","Action, Adventure"
48190,48190,"Action, Adventure, Open World, Parkour","Action, Adventure"
482730,482730,"Sports, Simulation, Soccer, Management","Simulation, Sports"
482920,482920,"Free to Play, Casual, RPG, Adventure","Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG, Strategy"
4850,4850,"Strategy, Classic, RTS, Multiplayer",Strategy
485510,485510,"Souls-like, Action, RPG, Difficult","Action, RPG"
48700,48700,"Medieval, RPG, Open World, Strategy","Action, RPG"
48720,48720,"RPG, Open World, Medieval, Action","Action, RPG"
488790,488790,"RPG, Comedy, Dark Humor, Funny",RPG
489520,489520,"Card Battler, PvE, Free to Play, Strategy","Action, Adventure, Free to Play, Indie, RPG, Strategy"
489630,489630,"Strategy, Warhammer 40K, 4X, Turn-Based Strategy",Strategy
489830,489830,"Open World, RPG, Adventure, Singleplayer",RPG
492720,492720,"Strategy, City Builder, Simulation, Economy","Simulation, Strategy"
493340,493340,"Simulation, Building, Management, Family Friendly","Action, Adventure, Casual, Simulation, Strategy"
493490,493490,"Simulation, Driving, Automobile Sim, Survival Horror","Indie, Racing, Simulation"
493520,493520,"Horror, Online Co-Op, Co-op, FPS",Action
